Animal_ID,number,species,condition,Total_Weight_kg,Liver_Weight_g,Intestine_weight_g,Parasites_Recovered,Intestine_length_cm
SnX,1,Turkey,control,2.85,67.9,40.4,7,102.099
SnX,2,Turkey,control,1.95,45.1,30.2,19,95.209
SnX2,1,Turkey,control,1.95,41.6,29.6,0,88.831
SnX2,2,Turkey,control,1.95,47.8,26.8,0,82.545
SnX2,3,Turkey,control,1.95,41.9,30.2,0,87.216
SnX2,4,Turkey,control,1.95,52,32.1,0,91.28
SnX2,5,Turkey,control,2.35,57.2,31.1,0,92.563
SnX2,6,Turkey,control,2.05,52.1,29,0,90.005
SnX2,7,Turkey,control,1.95,41.1,27.2,0,88.815
SnX2,8,Turkey,control,2.05,65,27.6,0,81.901
